Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
D1,2021-01-02,14:30:00,Bielefeld,M'gladbach,,,,,,,5.75,4.33,1.53,5.25,4.1,1.62,6.25,4.2,1.53,5.95,4.25,1.61,5.8,4.0,1.57,5.5,4.2,1.57,6.25,4.44,1.63,5.62,4.17,1.59,1.72,2.1,1.76,2.18,1.78,2.28,1.69,2.17,1.0,1.9,2.0,1.9,2.02,1.94,2.06,1.87,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-02,14:30:00,Ein Frankfurt,Leverkusen,,,,,,,3.2,3.6,2.1,3.3,3.9,2.05,3.2,3.55,2.1,3.39,3.88,2.13,3.25,3.75,2.05,3.2,3.9,2.05,3.41,4.08,2.2,3.26,3.79,2.09,1.53,2.5,1.53,2.65,1.57,2.67,1.51,2.52,0.25,2.06,1.84,2.07,1.86,2.11,1.9,2.03,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-02,14:30:00,FC Koln,Augsburg,,,,,,,2.35,3.4,3.0,2.35,3.3,3.1,2.4,3.05,3.1,2.43,3.36,3.2,2.35,3.25,3.1,2.3,3.4,3.0,2.43,3.5,3.3,2.35,3.29,3.14,2.0,1.8,2.11,1.8,2.12,1.85,2.03,1.78,-0.25,2.04,1.86,2.08,1.86,2.08,1.89,2.01,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-02,14:30:00,Hoffenheim,Freiburg,,,,,,,2.0,3.8,3.3,2.05,3.6,3.5,2.05,3.5,3.35,2.1,3.83,3.5,2.0,3.6,3.5,2.0,3.9,3.25,2.13,4.1,3.62,2.04,3.75,3.41,1.53,2.5,1.57,2.55,1.57,2.6,1.53,2.47,-0.25,1.77,2.02,1.83,2.1,1.87,2.16,1.8,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-02,14:30:00,Werder Bremen,Union Berlin,,,,,,,2.9,3.3,2.37,2.85,3.3,2.5,2.9,3.1,2.5,2.97,3.4,2.56,2.88,3.2,2.5,2.88,3.3,2.45,3.01,3.47,2.61,2.9,3.29,2.51,2.0,1.8,2.01,1.89,2.05,1.9,1.97,1.83,0.0,2.09,1.81,2.12,1.83,2.14,1.87,2.06,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-02,17:30:00,Hertha,Schalke 04,,,,,,,1.65,4.0,4.8,1.67,4.0,5.0,1.75,3.6,4.6,1.77,3.98,4.83,1.7,3.8,4.8,1.7,3.9,4.6,1.8,4.08,5.1,1.72,3.87,4.75,1.8,2.0,1.83,2.08,1.91,2.12,1.81,2.0,-0.75,1.96,1.94,2.0,1.93,2.0,1.99,1.93,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-02,19:30:00,Stuttgart,RB Leipzig,,,,,,,3.8,4.0,1.8,3.9,4.0,1.83,3.8,3.8,1.85,4.03,4.17,1.87,4.0,3.8,1.83,3.75,4.0,1.83,4.49,4.32,1.91,3.9,4.0,1.85,1.53,2.5,1.54,2.62,1.57,2.62,1.53,2.47,0.75,1.75,2.05,1.81,2.11,1.96,2.17,1.78,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-03,14:30:00,Dortmund,Wolfsburg,,,,,,,1.55,4.2,5.75,1.6,4.1,5.5,1.6,4.0,5.25,1.61,4.42,5.64,1.57,4.2,5.5,1.55,4.4,5.0,1.63,4.65,6.0,1.58,4.29,5.4,1.53,2.5,1.56,2.59,1.61,2.59,1.54,2.44,-1.0,1.99,1.91,1.99,1.93,2.02,1.99,1.95,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,2021-01-03,17:00:00,Bayern Munich,Mainz,,,,,,,1.12,9.0,19.0,1.12,9.5,20.0,1.12,10.0,19.0,1.11,10.66,26.31,1.1,9.0,23.0,1.08,10.5,19.0,1.13,11.0,27.34,1.11,10.17,21.74,1.22,4.33,1.22,4.53,1.24,4.67,1.21,4.22,-2.75,2.0,1.9,2.02,1.87,2.05,1.96,1.98,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-02,12:00:00,Bochum,Darmstadt,,,,,,,2.05,3.5,3.4,2.15,3.4,3.4,2.2,3.35,3.25,2.22,3.4,3.53,2.2,3.3,3.2,2.1,3.6,3.1,2.25,3.6,3.53,2.17,3.37,3.27,1.65,2.2,1.7,2.24,1.72,2.33,1.66,2.19,-0.25,1.85,2.0,1.9,2.01,1.93,2.01,1.88,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-02,12:00:00,Heidenheim,Nurnberg,,,,,,,2.1,3.4,3.4,2.15,3.4,3.4,2.2,3.2,3.3,2.25,3.35,3.5,2.2,3.2,3.3,2.15,3.4,3.2,2.35,3.46,3.5,2.18,3.3,3.31,1.9,1.9,1.96,1.93,1.98,2.0,1.88,1.91,-0.25,1.9,1.95,1.93,1.98,2.0,2.0,1.9,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-02,12:00:00,Wurzburger Kickers,Karlsruhe,,,,,,,4.0,3.8,1.8,3.9,3.7,1.91,3.85,3.6,1.9,4.05,3.72,1.94,3.9,3.5,1.88,3.75,3.75,1.85,4.15,3.81,2.0,3.87,3.64,1.89,1.7,2.1,1.71,2.22,1.75,2.23,1.69,2.14,0.5,1.95,1.9,1.96,1.94,2.02,2.0,1.95,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-03,12:30:00,Erzgebirge Aue,Braunschweig,,,,,,,1.8,3.75,4.2,1.9,3.7,4.0,1.9,3.6,3.9,1.92,3.8,4.09,1.85,3.6,4.0,1.85,3.7,3.8,1.95,3.8,4.2,1.87,3.65,3.93,1.72,2.07,1.76,2.14,1.79,2.19,1.73,2.08,-0.5,1.88,1.98,1.92,1.99,1.95,2.04,1.87,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-03,12:30:00,Greuther Furth,St Pauli,,,,,,,1.75,3.8,4.33,1.78,3.9,4.4,1.77,3.7,4.3,1.79,3.91,4.65,1.78,3.6,4.33,1.75,3.8,4.1,1.83,3.95,4.69,1.76,3.74,4.36,1.65,2.2,1.63,2.38,1.68,2.38,1.63,2.25,-0.75,1.98,1.88,2.01,1.9,2.05,1.93,1.99,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-03,12:30:00,Hamburg,Regensburg,,,,,,,1.55,4.2,5.5,1.57,4.0,6.0,1.6,3.85,5.75,1.63,3.96,6.1,1.57,3.8,5.8,1.57,4.0,5.25,1.65,4.25,6.25,1.59,3.91,5.6,1.65,2.2,1.64,2.36,1.69,2.36,1.63,2.24,-1.0,2.0,1.85,2.07,1.85,2.07,1.96,2.0,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-03,12:30:00,Hannover,Sandhausen,,,,,,,1.72,3.75,4.5,1.75,3.8,4.6,1.8,3.6,4.3,1.81,3.78,4.7,1.75,3.6,4.5,1.75,3.8,4.1,1.85,3.87,4.76,1.78,3.65,4.35,1.8,2.0,1.85,2.04,1.87,2.06,1.81,1.98,-0.75,2.02,1.83,2.07,1.85,2.08,1.88,2.03,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-03,12:30:00,Holstein Kiel,Osnabruck,,,,,,,1.75,3.5,4.75,1.78,3.6,4.75,1.77,3.65,4.4,1.79,3.82,4.8,1.78,3.5,4.5,1.75,3.75,4.2,1.84,3.87,4.92,1.77,3.63,4.51,1.8,2.0,1.85,2.04,1.89,2.05,1.83,1.96,-0.75,2.0,1.85,2.02,1.88,2.05,1.91,2.0,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,2021-01-04,19:30:00,Fortuna Dusseldorf,Paderborn,,,,,,,2.3,3.4,3.0,2.35,3.3,3.1,2.4,3.3,2.85,2.45,3.45,2.98,2.38,3.3,2.88,2.3,3.5,2.8,2.5,3.55,3.1,2.38,3.35,2.89,1.75,2.05,1.79,2.08,1.82,2.14,1.75,2.04,-0.25,2.05,1.8,2.11,1.8,2.12,1.85,2.07,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-01,17:30:00,Everton,West Ham,,,,,,,2.1,3.5,3.5,2.15,3.5,3.3,2.15,3.35,3.45,2.19,3.52,3.55,2.15,3.4,3.5,2.1,3.4,3.6,2.22,3.58,3.81,2.15,3.44,3.5,1.9,1.9,2.02,1.89,2.05,1.93,1.96,1.86,-0.25,1.87,2.03,1.88,2.04,1.9,2.16,1.85,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-01,20:00:00,Man United,Aston Villa,,,,,,,1.72,4.2,4.2,1.7,4.2,4.5,1.75,3.9,4.4,1.78,4.14,4.52,1.75,4.0,4.4,1.7,4.1,4.6,1.81,4.35,4.7,1.74,4.14,4.42,1.53,2.5,1.58,2.52,1.58,2.72,1.54,2.48,-0.75,1.96,1.94,1.99,1.93,2.07,1.99,1.95,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-02,12:30:00,Tottenham,Leeds,,,,,,,1.75,4.1,4.2,1.78,3.9,4.25,1.8,3.9,3.9,1.81,4.13,4.34,1.8,3.9,4.2,1.75,4.1,4.1,1.85,4.28,4.37,1.8,4.05,4.15,1.44,2.75,1.45,2.9,1.48,2.91,1.44,2.79,-0.75,2.02,1.88,2.04,1.89,2.07,1.91,2.02,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-02,15:00:00,Crystal Palace,Sheffield United,,,,,,,1.95,3.5,3.9,1.95,3.5,3.9,1.95,3.3,4.1,2.02,3.45,3.84,2.0,3.3,4.0,2.0,3.25,4.1,2.09,3.55,4.1,2.01,3.4,3.93,2.3,1.61,2.26,1.65,2.34,1.7,2.25,1.65,-0.5,2.03,1.87,2.02,1.84,2.07,1.91,2.0,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-02,17:30:00,Brighton,Wolves,,,,,,,2.62,3.25,2.75,2.6,3.2,2.8,2.6,2.9,2.85,2.68,3.28,2.91,2.7,3.1,2.8,2.7,3.0,2.9,2.76,3.3,2.92,2.66,3.15,2.85,2.5,1.53,2.53,1.58,2.54,1.62,2.43,1.56,0.0,1.87,2.03,1.88,2.05,1.91,2.06,1.86,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-02,20:00:00,West Brom,Arsenal,,,,,,,5.75,4.0,1.57,5.75,4.1,1.57,5.5,3.75,1.63,5.98,4.09,1.63,6.5,4.2,1.53,6.0,4.0,1.57,6.5,4.2,1.66,5.78,4.01,1.61,1.9,1.9,1.92,1.98,1.93,2.09,1.84,1.98,1.0,1.84,2.06,1.8,2.13,1.86,2.13,1.81,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-03,12:00:00,Burnley,Fulham,,,,,,,2.2,3.3,3.4,2.2,3.3,3.4,2.2,3.1,3.35,2.2,3.39,3.38,2.25,3.2,3.4,2.25,3.13,3.5,2.33,3.5,3.5,2.22,3.32,3.37,2.3,1.61,2.34,1.61,2.4,1.67,2.32,1.61,-0.25,1.95,1.95,1.89,1.96,1.98,2.0,1.91,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-03,14:15:00,Newcastle,Leicester,,,,,,,5.25,4.2,1.61,5.25,4.1,1.62,5.0,3.65,1.7,5.35,3.99,1.7,5.25,3.9,1.65,5.5,3.8,1.65,5.52,4.2,1.72,5.19,3.97,1.67,1.9,1.9,1.89,2.01,1.93,2.04,1.86,1.96,0.75,2.02,1.88,2.02,1.91,2.08,1.91,2.02,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-03,16:30:00,Chelsea,Man City,,,,,,,3.0,3.7,2.2,3.0,3.7,2.25,2.95,3.4,2.3,2.95,3.67,2.4,3.1,3.5,2.25,3.1,3.7,2.2,3.2,3.8,2.36,3.01,3.66,2.24,1.72,2.1,1.71,2.22,1.77,2.25,1.72,2.12,0.25,1.87,2.03,1.83,2.09,1.96,2.05,1.89,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0,2021-01-04,20:00:00,Southampton,Liverpool,,,,,,,5.0,4.33,1.61,4.75,4.25,1.65,4.8,3.9,1.65,5.03,4.44,1.67,5.0,4.2,1.63,5.0,4.1,1.65,5.1,4.5,1.7,4.89,4.24,1.65,1.61,2.3,1.66,2.35,1.69,2.37,1.63,2.29,0.75,2.06,1.84,2.08,1.85,2.11,1.88,2.05,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-01,17:30:00,Sheffield Weds,Derby,,,,,,,3.4,3.1,2.25,3.4,3.1,2.3,3.35,3.0,2.3,3.45,3.18,2.36,3.4,3.1,2.25,3.3,3.13,2.3,3.65,3.24,2.42,3.39,3.1,2.29,2.5,1.53,2.59,1.54,2.64,1.58,2.49,1.53,0.25,1.9,2.0,1.91,2.0,1.94,2.05,1.89,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Birmingham,Blackburn,,,,,,,3.6,3.4,2.1,3.5,3.25,2.2,3.45,3.25,2.15,3.64,3.47,2.15,3.5,3.2,2.15,3.5,3.3,2.15,3.75,3.5,2.21,3.51,3.33,2.13,2.2,1.66,2.2,1.72,2.3,1.73,2.21,1.66,0.25,2.04,1.86,2.07,1.85,2.1,1.9,2.02,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Brentford,Bristol City,,,,,,,1.65,3.8,5.5,1.67,3.9,5.25,1.63,3.7,5.75,1.65,3.85,5.99,1.65,3.6,5.8,1.65,3.8,5.5,1.7,3.9,5.99,1.65,3.74,5.54,2.0,1.8,2.02,1.87,2.06,1.88,1.99,1.82,-0.75,1.84,2.06,1.86,2.06,1.88,2.09,1.84,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Huddersfield,Reading,,,,,,,2.5,3.4,2.8,2.55,3.2,2.9,2.55,3.1,2.8,2.67,3.24,2.9,2.55,3.1,2.88,2.5,3.2,2.9,2.7,3.4,2.95,2.56,3.16,2.86,2.3,1.61,2.3,1.67,2.31,1.73,2.22,1.66,0.0,1.83,2.07,1.88,2.04,1.88,2.12,1.81,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Luton,QPR,,,,,,,2.3,3.3,3.2,2.3,3.3,3.2,2.3,3.2,3.1,2.35,3.39,3.26,2.3,3.25,3.2,2.3,3.4,3.1,2.4,3.44,3.29,2.31,3.3,3.14,2.0,1.8,2.07,1.83,2.14,1.83,2.04,1.78,-0.25,2.02,1.88,2.01,1.89,2.05,1.91,1.99,1.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Millwall,Coventry,,,,,,,2.05,3.1,4.2,2.05,3.1,4.25,2.05,2.95,4.1,2.09,3.13,4.34,2.0,3.1,4.2,2.05,3.13,4.0,2.16,3.24,4.5,2.06,3.08,4.12,2.62,1.5,2.58,1.55,2.85,1.55,2.63,1.47,-0.5,2.07,1.83,2.09,1.83,2.1,1.86,2.05,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Norwich,Barnsley,,,,,,,1.75,3.75,4.75,1.78,3.9,4.33,1.73,3.7,4.5,1.77,3.9,4.81,1.78,3.6,4.6,1.75,3.9,4.4,1.85,4.0,4.88,1.77,3.75,4.53,1.8,2.0,1.81,2.07,1.86,2.11,1.79,2.02,-0.75,2.01,1.89,2.01,1.89,2.13,1.91,2.0,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Preston,Nott'm Forest,,,,,,,2.45,3.25,3.0,2.5,3.2,3.0,2.45,3.1,2.95,2.54,3.21,3.1,2.45,3.1,3.0,2.45,3.2,3.0,2.59,3.28,3.13,2.48,3.15,2.98,2.3,1.61,2.35,1.65,2.4,1.67,2.3,1.61,-0.25,2.13,1.78,2.16,1.78,2.19,1.81,2.12,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,2021-01-02,15:00:00,Rotherham,Cardiff,,,,,,,3.3,3.3,2.25,3.2,3.4,2.25,3.15,3.25,2.25,3.35,3.38,2.3,3.2,3.2,2.3,3.2,3.4,2.25,3.39,3.41,2.36,3.21,3.3,2.27,2.1,1.72,2.1,1.79,2.16,1.81,2.07,1.75,0.25,1.93,1.97,1.93,1.97,1.95,2.01,1.88,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
